radio,mcc,mnc,lac,cid,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region,location,d_nearest_road
GSM,624,2,65301,36073,0,11.523628,3.839378,2906,8,1,1341428942,1382678582,0,POINT (11.523628 3.839378),Yaounde,Centre,urban,0.003193804
GSM,624,2,65301,36152,0,11.542923,3.855881,1903,15,1,1337453135,1379562821,0,POINT (11.542923 3.855881),Yaounde,Centre,urban,0.001087881
GSM,624,2,65301,36153,0,11.545258,3.843155,1000,2,1,1345066422,1357029654,0,POINT (11.545258 3.843155),Yaounde,Centre,urban,0.006182046
GSM,624,2,65301,36163,0,11.535422,3.862263,7030,151,1,1341860586,1360719222,0,POINT (11.535422 3.862263),Yaounde,Centre,urban,0.002911135
GSM,624,2,65301,36321,0,11.540279,3.840408,1302,8,1,1340897288,1360511405,0,POINT (11.540279 3.840408),Yaounde,Centre,urban,0.000738147
GSM,624,2,65301,36322,0,11.540146,3.842392,1289,9,1,1337450820,1358815617,0,POINT (11.540146 3.842392),Yaounde,Centre,urban,0.000472397
GSM,624,2,65301,36323,0,11.538048,3.844185,1000,4,1,1344974255,1359954978,0,POINT (11.538048 3.844185),Yaounde,Centre,urban,0.001609042
GSM,624,2,65301,36401,0,11.54182434,3.855514526,1000,1,1,1349961313,1349961313,0,POINT (11.54182434082 3.8555145263672),Yaounde,Centre,urban,0.000495358
GSM,624,2,65301,36402,0,11.538444,3.854458,1327,13,1,1344783003,1359687064,0,POINT (11.538444 3.854458),Yaounde,Centre,urban,0.000578504
GSM,624,2,65301,36403,0,11.53495789,3.856887817,1000,1,1,1350402095,1350402095,0,POINT (11.534957885742 3.8568878173828),Yaounde,Centre,urban,0.003369599
GSM,624,2,65301,36421,0,11.52809143,3.856887817,1000,2,1,1378809448,1378811514,0,POINT (11.528091430664 3.8568878173828),Yaounde,Centre,urban,0.000517421
GSM,624,2,65301,36511,0,11.50749207,3.839035034,1000,1,1,1345125788,1345125788,0,POINT (11.50749206543 3.8390350341797),Yaounde,Centre,urban,0.002114218
GSM,624,2,65301,36512,0,11.50611877,3.834915161,1000,1,1,1345712515,1345712515,0,POINT (11.506118774414 3.8349151611328),Yaounde,Centre,urban,0.002765063
GSM,624,2,65301,36641,0,11.500168,3.823929,1396,3,1,1343771714,1350901764,0,POINT (11.500168 3.823929),Yaounde,Centre,urban,0.007523871
GSM,624,2,65301,36642,0,11.506805,3.814316,1544,2,1,1352543391,1354300069,0,POINT (11.506805 3.814316),Yaounde,Centre,urban,0.003961966
GSM,624,2,65301,36901,0,11.520169,3.828788,1912,13,1,1341325288,1360318053,0,POINT (11.520169 3.828788),Yaounde,Centre,urban,0.000676012
GSM,624,2,65301,36902,0,11.515143,3.823536,1726,7,1,1342257176,1350890657,0,POINT (11.515143 3.823536),Yaounde,Centre,urban,0.0002442
GSM,624,2,65301,37013,0,11.53358459,3.803329468,1000,1,1,1341543950,1341543950,0,POINT (11.533584594727 3.8033294677734),Yaounde,Centre,urban,0.002113442
GSM,624,2,65301,37041,0,11.51023865,3.818435669,1000,2,1,1357985389,1358336229,0,POINT (11.510238647461 3.8184356689453),Yaounde,Centre,urban,0.00129198
GSM,624,2,65301,37083,0,11.52122498,3.86100769,1000,1,1,1376054590,1376054590,0,POINT (11.521224975586 3.8610076904297),Yaounde,Centre,urban,0.000166684
GSM,624,2,65301,37122,0,11.51161194,3.83354187,1000,1,1,1359088015,1359088015,0,POINT (11.511611938477 3.8335418701172),Yaounde,Centre,urban,0.000463179
GSM,624,2,65301,37381,0,11.5322113,3.858261108,1000,1,1,1381109658,1381109658,0,POINT (11.532211303711 3.8582611083984),Yaounde,Centre,urban,0.005361673
GSM,624,2,65301,37383,0,11.53038,3.858261,1000,3,1,1377643388,1383021233,0,POINT (11.53038 3.858261),Yaounde,Centre,urban,0.00302162
GSM,624,2,65301,37441,0,11.528366,3.829697,1000,5,1,1355811318,1358995604,0,POINT (11.528366 3.829697),Yaounde,Centre,urban,0.022484211
GSM,624,2,65301,37493,0,11.553116,3.836441,2028,9,1,1339272732,1380979736,0,POINT (11.553116 3.836441),Yaounde,Centre,urban,0.000452538
GSM,624,2,65301,37541,0,11.529465,3.821045,1737,10,1,1356439676,1359956837,0,POINT (11.529465 3.821045),Yaounde,Centre,urban,0.036739354
GSM,624,2,65300,42,0,11.49238586,3.834915161,1000,1,1,1346765142,1346765142,0,POINT (11.492385864258 3.8349151611328),Yaounde,Centre,urban,0.005852936
