,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority
24734,131211864,624,1,52,14.254760999999998,10.456924,1,POINT (14.2470164961596 10.45187254267216),1.016201167700223,0.7132282414392727,0.0
24735,131205807,624,1,52,14.265747,10.532455,1,POINT (14.26572557459514 10.53290274758342),0.04984232524360484,0.05531069387913112,0.0
24736,131217285,624,1,52,14.306259155272999,10.588760375977,1,POINT (14.30669941861146 10.58858197016539),0.052050081867841436,0.4045727563307132,0.0
24737,131211868,624,1,52,14.255447387695,10.456924438477,1,POINT (14.2470164961596 10.45187254267216),1.079571984199727,0.2722528721449805,0.0
24738,131145901,624,1,51,11.534409,3.87886,1,POINT (11.53828353477567 3.873758787773596),0.7116977311864258,0.0017627688946546538,0.0
24739,131215219,624,1,52,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.3293786598285805,0.0
24740,131215213,624,1,52,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.0516111133719418,0.0
24741,131215217,624,1,52,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.469939011281026,0.0
24742,131205587,624,1,52,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.19733940746294087,0.0
24743,17452,624,2,81,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.9195480602613177,0.0
24744,22311,624,2,81,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.2640579421443833,0.0
24745,17561,624,2,81,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.5597460110346573,0.0
24746,9852,624,2,20021,11.532211303711,3.8431549072266002,1,POINT (11.53212744598989 3.842690257832601),0.05249761903060608,0.39066134523503204,0.0
24747,41703,624,2,81,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.6208845182515028,0.0
24748,17453,624,2,81,13.575668334961,7.339553833007799,1,POINT (13.58063725659241 7.342427277376544),0.6343353026731461,0.6329423410109991,0.0
24749,19822723,624,2,31008,9.7332000732422,4.0189361572266,1,POINT (9.736191367733539 4.018764958304104),0.33234452716545654,0.8569453182621714,0.0
24750,19822726,624,2,31023,9.7332000732422,4.0189361572266,1,POINT (9.736191367733539 4.018764958304104),0.33234452716545654,0.268467018494013,0.0
