radio,mcc,mnc,lac,cid,cgi,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region
UMTS,624,2,1005,35736,624023ED8B98,0,10.22758484,5.261764526,1000,1,1,1473470174,1473470174,0,POINT (10.227584838867 5.2617645263672),Bafang,West
UMTS,624,2,1005,35737,624023ED8B99,0,10.1877594,5.164260864,1000,2,1,1473659854,1473659854,0,POINT (10.187759399414 5.1642608642578),Bafang,West
UMTS,624,2,1005,35738,624023ED8B9A,0,10.18226624,5.154647827,1000,1,1,1485430622,1485430622,0,POINT (10.182266235352 5.1546478271484),Bafang,West
UMTS,624,2,1005,35774,624023ED8BBE,0,10.511856,5.158081,1000,2,1,1474363001,1474956103,0,POINT (10.511856 5.158081),Bangangte,West
UMTS,624,2,1005,35776,624023ED8BC0,0,10.48851013,5.187606812,1000,1,1,1474340129,1474340129,0,POINT (10.488510131836 5.1876068115234),Bangangte,West
UMTS,624,2,1005,35778,624023ED8BC2,0,10.515976,5.122375,1000,2,1,1474996981,1482212575,0,POINT (10.515976 5.122375),Bangangte,West
UMTS,624,2,1005,35779,624023ED8BC3,0,10.52284241,5.139541626,1000,2,1,1474996981,1482212575,0,POINT (10.522842407227 5.1395416259766),Bangangte,West
UMTS,624,2,1005,36067,624023ED8CE3,0,9.628829956,4.110946655,1000,2,1,1473506010,1473506010,0,POINT (9.6288299560547 4.1109466552734),Bonaberi,Littoral
UMTS,624,2,1005,36068,624023ED8CE4,0,9.617386,4.10408,1000,6,1,1453992236,1453992236,0,POINT (9.617386 4.104080000000001),Bonaberi,Littoral
UMTS,624,2,1005,36069,624023ED8CE5,0,9.609055,4.106003,1000,10,1,1455895657,1455895657,0,POINT (9.609055 4.106003),Bonaberi,Littoral
UMTS,624,2,1005,36072,624023ED8CE8,0,9.616470337,4.102706909,1000,1,1,1453992236,1453992236,0,POINT (9.6164703369141 4.1027069091797),Bonaberi,Littoral
UMTS,624,2,1005,36073,624023ED8CE9,0,9.599648,4.11129,1691,4,1,1455895657,1455895657,0,POINT (9.599648 4.11129),Bonaberi,Littoral
